"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 23:30:44 EET 2020","Sun Jan 12 23:31:30 EET 2020","45786","","As user I want to see product landing page and interact with elements on this page","","[Venus] User can navigate to full PDP by click on ""View More Details"" CTA on product landing page","","[Venus] User can navigate to full PDP by click on ""View More Details"" CTA on product landing page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Specific Pages/SpecPage_Prod_Landing.feature:284"
"passed","Sun Jan 12 22:03:30 EET 2020","Sun Jan 12 22:03:53 EET 2020","23600","","As a customer, I can click on the logo to be taken to the home page.","","[Venus] User navigated to homepage by clicking logo in header","","[Venus] User navigated to homepage by clicking logo in header","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Logo.feature:77"
"passed","Sun Jan 12 23:26:38 EET 2020","Sun Jan 12 23:27:29 EET 2020","50929","","As user I want to see product landing page and interact with elements on this page","","[Venus] User can see large image view by taping + icon on product landing page","","[Venus] User can see large image view by taping + icon on product landing page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Specific Pages/SpecPage_Prod_Landing.feature:191"
"passed","Sun Jan 12 22:25:12 EET 2020","Sun Jan 12 22:26:32 EET 2020","80810","","As a customer, I can add product to cart with various parameters from ""Complete the look"" section","","[Venus] User can add item to cart from ""Complete the look"" section on PDP after selecting required product options","","[Venus] User can add item to cart from ""Complete the look"" section on PDP after selecting required product options","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_ATB_CompleteLook.feature:24"
"passed","Sun Jan 12 22:34:50 EET 2020","Sun Jan 12 22:35:32 EET 2020","42103","","As a customer, I can see all the standard product details:","","[Venus] As user I want see Product price with/without sale","","[Venus] As user I want see Product price with/without sale","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_Details.feature:85"
"passed","Sun Jan 12 21:59:28 EET 2020","Sun Jan 12 22:00:04 EET 2020","36183","","As a customer, I can click on the account icon on header to see account navigation links","","[Venus] Signed in user can click on the account icon and see modal with account navigation links","","[Venus] Signed in user can click on the account icon and see modal with account navigation links","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Acct_Nav.feature:48"
"passed","Sun Jan 12 22:15:25 EET 2020","Sun Jan 12 22:15:49 EET 2020","23717","","As a customer, I can see custom header or footer call to actions in the hamburger menu above the main menu items.","","[Venus] User can see custom header or footer call to actions in the hamburger menu above the main menu items","","[Venus] User can see custom header or footer call to actions in the hamburger menu above the main menu items","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Navigation Menu/NAVI_Header_Links.feature:39"
"passed","Sun Jan 12 22:09:31 EET 2020","Sun Jan 12 22:09:41 EET 2020","9524","","As a customer, I can submit a search query in the input field and be taken to a search results page.","","[Venus] User navigating to PLP search result page after submitting search query","","[Venus] User navigating to PLP search result page after submitting search query","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Srch_Input.feature:134"
"passed","Sun Jan 12 23:31:30 EET 2020","Sun Jan 12 23:31:52 EET 2020","21890","","As user I want to see product landing page and interact with elements on this page","","[Venus] User can see products with correct info in ""Related products"" section on product landing page","","[Venus] User can see products with correct info in ""Related products"" section on product landing page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Specific Pages/SpecPage_Prod_Landing.feature:295"
"passed","Sun Jan 12 22:43:02 EET 2020","Sun Jan 12 22:43:41 EET 2020","38504","","As a customer, when I'm selecting required product fields, I should see availability message.","","[Venus] User can see availability message after selecting required options of product","","[Venus] User can see availability message after selecting required options of product","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_Prod_Avail.feature:31"
"passed","Sun Jan 12 23:28:33 EET 2020","Sun Jan 12 23:29:17 EET 2020","44316","","As user I want to see product landing page and interact with elements on this page","","[Venus] User can select Waist Size on special product landing page","","[Venus] User can select Waist Size on special product landing page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Specific Pages/SpecPage_Prod_Landing.feature:240"
